"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"23","tt0101301","Sun Oct 21 05:12:26 2012","Sun Oct 21 05:12:26 2012","","All I Want for Christmas","Feature Film","Robert Lieberman","6.0","92","1991","comedy, family, romance","3149","1991-11-08","http://www.imdb.com/title/tt0101301/"
"24","tt0110367","Sun Oct 21 05:13:01 2012","Sun Oct 21 05:13:01 2012","","Little Women","Feature Film","Gillian Armstrong","7.3","115","1994","drama, family, romance","36240","1994-12-21","http://www.imdb.com/title/tt0110367/"
"25","tt0101786","Sun Oct 21 05:16:41 2012","Sun Oct 21 05:16:41 2012","","Dutch","Feature Film","Peter Faiman","6.4","107","1991","comedy, drama","9287","1991-07-19","http://www.imdb.com/title/tt0101786/"
"26","tt0243155","Sun Oct 21 05:47:49 2012","Sun Oct 21 05:47:49 2012","","Bridget Jones's Diary","Feature Film","Sharon Maguire","6.7","97","2001","comedy, drama, romance","169515","2001-04-04","http://www.imdb.com/title/tt0243155/"
"27","tt0108160","Sun Oct 21 05:48:55 2012","Sun Oct 21 05:48:55 2012","","Sleepless in Seattle","Feature Film","Nora Ephron","6.8","105","1993","comedy, drama, romance","121117","1993-06-25","http://www.imdb.com/title/tt0108160/"
"28","tt1430607","Sun Oct 21 07:24:26 2012","Sun Oct 21 07:24:26 2012","","Arthur Christmas","Feature Film","Sarah Smith, Barry Cook","7.1","97","2011","animation, adventure, comedy, family, fantasy","35207","2011-11-11","http://www.imdb.com/title/tt1430607/"
"29","tt0938666","Sun Oct 21 07:27:57 2012","Sun Oct 21 07:27:57 2012","","Holiday in Handcuffs","TV Movie","Ron Underwood","6.4","86","2007","comedy, crime, family, romance","4281","2007-12-09","http://www.imdb.com/title/tt0938666/"
"30","tt1699746","Sun Oct 21 07:28:51 2012","Sun Oct 21 07:28:51 2012","","Christmas Cupid","TV Movie","Gil Junger","5.7","85","2010","comedy, family, fantasy, romance","2722","2010-12-12","http://www.imdb.com/title/tt1699746/"
"31","tt0425468","Sun Oct 21 07:29:58 2012","Sun Oct 21 07:29:58 2012","","Snow","TV Movie","Alex Zamm","6.6","120","2004","comedy, family, fantasy","906","2004-12-13","http://www.imdb.com/title/tt0425468/"
"32","tt0872243","Sun Oct 21 07:47:08 2012","Sun Oct 21 07:47:08 2012","","All She Wants for Christmas","TV Movie","Ron Oliver","4.9","91","2006","comedy, drama, romance","561","2006-12-18","http://www.imdb.com/title/tt0872243/"
"33","tt1041804","Sun Oct 21 07:47:44 2012","Sun Oct 21 07:47:44 2012","","The Nutcracker in 3D","Feature Film","Andrei Konchalovsky","4.4","110","2010","action, family, fantasy, musical","2479","2010-11-24","http://www.imdb.com/title/tt1041804/"
"34","tt0104940","Thu Oct  3 03:30:14 2013","Thu Oct  3 03:30:14 2013","","The Muppet Christmas Carol","Feature Film","Brian Henson","7.7","85","1992","comedy, drama, family, fantasy, musical","33577","1992-12-11","http://www.imdb.com/title/tt0104940/"
"35","tt0272018","Tue Nov 19 11:31:19 2013","Tue Nov 19 11:31:19 2013","","Call Me Claus","TV Movie","Peter Werner","5.5","90","2001","comedy, family","1663","2001-12-02","http://www.imdb.com/title/tt0272018/"
