"position","const","created","modified","description","Title","Title type","Directors","melissatinkabell2222 rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"25","tt2543818","Tue Apr 22 09:05:58 2014","Tue Apr 22 09:05:58 2014","","Finding Mrs. Claus","TV Movie","Mark Jean","","6.2","89","2012","comedy, romance","443","2012-12-02","http://www.imdb.com/title/tt2543818/"
"26","tt2112127","Sat Oct  4 12:06:22 2014","Sat Oct  4 12:06:22 2014","","Christmas Magic","TV Movie","John Bradshaw","","6.6","84","2011","drama, fantasy","777","2011-12-11","http://www.imdb.com/title/tt2112127/"
"27","tt2444354","Sat Oct  4 12:06:44 2014","Sat Oct  4 12:06:44 2014","","All About Christmas Eve","TV Movie","Peter Sullivan","","6.1","71","2012","comedy, romance","568","2012-12-09","http://www.imdb.com/title/tt2444354/"
"28","tt3341268","Sat Oct  4 12:07:27 2014","Sat Oct  4 12:07:27 2014","","The Twelve Trees of Christmas","TV Movie","Michael DeCarlo","","6.2","87","2013","romance","431","2013-11-16","http://www.imdb.com/title/tt3341268/"
"29","tt3101386","Sat Oct  4 12:07:55 2014","Sat Oct  4 12:07:55 2014","","The Christmas Spirit","TV Movie","Jack Angelo","","6.2","","2013","comedy, drama, romance","487","2013-12-01","http://www.imdb.com/title/tt3101386/"
"30","tt1790621","Sat Oct  4 12:11:59 2014","Sat Oct  4 12:11:59 2014","","A Christmas Kiss","TV Movie","John Stimpson","","6.3","96","2011","romance","2495","2011-12-11","http://www.imdb.com/title/tt1790621/"
"31","tt2415496","Sat Oct  4 12:13:15 2014","Sat Oct  4 12:13:15 2014","","Love at the Thanksgiving Day Parade","TV Movie","Ron Oliver","","6.7","90","2012","drama, romance","859","2012-11-04","http://www.imdb.com/title/tt2415496/"
"32","tt1579306","Sat Oct  4 12:13:32 2014","Sat Oct  4 12:13:32 2014","","Meet My Mom","TV Movie","Harvey Frost","","7.1","88","2010","drama, romance","761","2010-04-29","http://www.imdb.com/title/tt1579306/"
"33","tt1807892","Sat Oct  4 12:14:19 2014","Sat Oct  4 12:14:19 2014","","Holiday Engagement","TV Movie","Jim Fall","","6.1","97","2011","comedy","1752","2011-11-28","http://www.imdb.com/title/tt1807892/"
"34","tt3169000","Sat Oct  4 12:14:44 2014","Sat Oct  4 12:14:44 2014","","Hats Off to Christmas!","TV Movie","Terry Ingram","","6.0","85","2013","drama, romance","808","2013-12-14","http://www.imdb.com/title/tt3169000/"
"35","tt0111070","Tue Apr 22 08:42:45 2014","Tue Apr 22 08:42:45 2014","","The Santa Clause","Feature Film","John Pasquin","","6.4","97","1994","comedy, drama, family, fantasy","64134","1994-11-11","http://www.imdb.com/title/tt0111070/"
"36","tt0328880","Mon Nov 10 08:23:53 2014","Mon Nov 10 08:23:53 2014","","Brother Bear","Feature Film","Aaron Blaise, Robert Walker","","6.8","85","2003","animation, adventure, family, fantasy","69063","2003-10-20","http://www.imdb.com/title/tt0328880/"
"37","tt0497025","Tue Apr 22 07:54:39 2014","Tue Apr 22 07:54:39 2014","","Christmas in Boston","TV Movie","Neill Fearnley","10","6.3","90","2005","comedy, romance","1626","2005-12-14","http://www.imdb.com/title/tt0497025/"
"38","tt0089961","Wed Dec 10 09:03:46 2014","Wed Dec 10 09:03:46 2014","","Santa Claus","Feature Film","Jeannot Szwarc","8","6.0","107","1985","adventure, family, fantasy","8334","1985-11-27","http://www.imdb.com/title/tt0089961/"
"39","tt4180032","Wed Dec 10 09:04:29 2014","Wed Dec 10 09:04:29 2014","","Christmas Under Wraps","TV Movie","Peter Sullivan","6","6.8","88","2014","drama, romance","1153","2014-11-29","http://www.imdb.com/title/tt4180032/"
"40","tt2838678","Wed Dec 17 12:42:53 2014","Wed Dec 17 12:42:53 2014","","A Royal Christmas","TV Movie","Alex Zamm","10","6.7","","2014","comedy, romance","1303","2014-11-21","http://www.imdb.com/title/tt2838678/"
"41","tt3579250","Wed Dec 17 12:43:38 2014","Wed Dec 17 12:43:38 2014","","The Tree That Saved Christmas","TV Movie","David Winning","","6.6","88","2014","drama","218","2014-11-30","http://www.imdb.com/title/tt3579250/"
"42","tt3911058","Wed Dec 17 12:44:48 2014","Wed Dec 17 12:44:48 2014","","Santa Con","Feature Film","Melissa Joan Hart","","6.2","88","2014","comedy","218","2014-12-13","http://www.imdb.com/title/tt3911058/"
"43","tt1895321","Sun Oct 11 04:58:36 2015","Sun Oct 11 04:58:36 2015","","Christmas Lodge","TV Movie","Terry Ingram","","6.1","86","2011","comedy, drama, family, romance","930","2011-10-11","http://www.imdb.com/title/tt1895321/"
"44","tt2417134","Sun Oct 11 04:59:01 2015","Sun Oct 11 04:59:01 2015","","Naughty or Nice","TV Movie","David Mackay","","6.5","83","2012","comedy, drama, fantasy","1139","2012-11-24","http://www.imdb.com/title/tt2417134/"
"45","tt1598822","Sun Oct 11 04:59:23 2015","Sun Oct 11 04:59:23 2015","","New Year's Eve","Feature Film","Garry Marshall","","5.6","113","2011","comedy, romance","65915","2011-12-05","http://www.imdb.com/title/tt1598822/"
"46","tt2479066","Sun Oct 11 04:59:47 2015","Sun Oct 11 04:59:47 2015","","The Real St. Nick","TV Movie","Penelope Spheeris","","6.0","85","2012","comedy, romance","284","2012-12-15","http://www.imdb.com/title/tt2479066/"
"47","tt0999872","Sun Oct 11 05:00:14 2015","Sun Oct 11 05:00:14 2015","","Thomas Kinkade's Christmas Cottage","Feature Film","Michael Campus","","6.5","103","2008","biography, drama","1818","2008-11-11","http://www.imdb.com/title/tt0999872/"
"48","tt1699746","Sun Oct 11 05:00:40 2015","Sun Oct 11 05:00:40 2015","","Christmas Cupid","TV Movie","Gil Junger","","5.7","85","2010","comedy, family, fantasy, romance","2722","2010-12-12","http://www.imdb.com/title/tt1699746/"
"49","tt0383534","Sun Oct 11 05:01:09 2015","Sun Oct 11 05:01:09 2015","","Noel","Feature Film","Chazz Palminteri","","6.3","96","2004","drama","6839","2004-09-12","http://www.imdb.com/title/tt0383534/"
"50","tt2665200","Sun Oct 11 05:01:16 2015","Sun Oct 11 05:01:16 2015","","Fir Crazy","TV Movie","Craig Pryce","","6.5","87","2013","comedy, family, romance","939","2013-11-24","http://www.imdb.com/title/tt2665200/"
"51","tt4843046","Sun Nov 15 07:25:38 2015","Sun Nov 15 07:25:38 2015","","Northpole: Open for Christmas","TV Movie","Douglas Barr","","6.4","83","2015","fantasy","487","2015-11-21","http://www.imdb.com/title/tt4843046/"
"52","tt2362991","Sun Nov 15 07:26:21 2015","Sun Nov 15 07:26:21 2015","","When Calls the Heart","TV Movie","Michael Landon Jr.","","6.7","90","2013","comedy, drama, romance","1052","2013-10-05","http://www.imdb.com/title/tt2362991/"
"53","tt2414212","Tue Apr 22 08:39:05 2014","Tue Apr 22 08:39:05 2014","","Santa Paws 2: The Santa Pups","Feature Film","Robert Vince","","5.1","88","2012","adventure, family","683","2012-11-20","http://www.imdb.com/title/tt2414212/"
"54","tt0950740","Tue Apr 22 08:48:43 2014","Tue Apr 22 08:48:43 2014","","A Grandpa for Christmas","TV Movie","Harvey Frost","","7.0","90","2007","comedy, drama","726","2007-11-24","http://www.imdb.com/title/tt0950740/"
"55","tt3889642","Sat Dec 19 15:35:11 2015","Sat Dec 19 15:35:11 2015","","The Nine Lives of Christmas","TV Movie","Mark Jean","","7.2","86","2014","comedy, drama, romance","1073","2014-11-08","http://www.imdb.com/title/tt3889642/"
"56","tt3131456","Sat Dec 19 15:35:46 2015","Sat Dec 19 15:35:46 2015","","A Very Merry Mix-Up","TV Movie","Jonathan Wright","","6.8","87","2013","comedy, drama, family, romance","1396","2013-11-10","http://www.imdb.com/title/tt3131456/"
"57","tt1068284","Sat Dec 19 15:36:23 2015","Sat Dec 19 15:36:23 2015","","Snowglobe","TV Movie","Ron Lagomarsino","","6.1","86","2007","comedy, family, fantasy, romance","1457","2007-12-15","http://www.imdb.com/title/tt1068284/"
"58","tt3118746","Sat Dec 19 15:36:35 2015","Sat Dec 19 15:36:35 2015","","A Snow Globe Christmas","TV Movie","Jodi Binstock","","5.7","89","2013","drama, family","419","2013-12-14","http://www.imdb.com/title/tt3118746/"
"59","tt0846114","Sat Dec 19 15:37:03 2015","Sat Dec 19 15:37:03 2015","","Under the Mistletoe","TV Movie","George Mendeluk","","6.0","87","2006","drama, fantasy, romance","430","2006-12-04","http://www.imdb.com/title/tt0846114/"
"60","tt1327788","Sat Dec 19 15:37:35 2015","Sat Dec 19 15:37:35 2015","","The Most Wonderful Time of the Year","TV Movie","Michael M. Scott","","7.3","88","2008","comedy, drama, family, romance","1693","2008-12-13","http://www.imdb.com/title/tt1327788/"
"61","tt2256703","Sat Dec 19 15:38:41 2015","Sat Dec 19 15:38:41 2015","","Hitched for the Holidays","TV Movie","Michael M. Scott","","6.5","87","2012","drama, romance","1027","2012-11-25","http://www.imdb.com/title/tt2256703/"
"62","tt0330152","Sat Dec 19 15:39:48 2015","Sat Dec 19 15:39:48 2015","","The Christmas Shoes","TV Movie","Andy Wolk","","6.9","100","2002","drama","1746","2002-12-01","http://www.imdb.com/title/tt0330152/"
"63","tt3214240","Sat Dec 19 15:41:00 2015","Sat Dec 19 15:41:00 2015","","Snow Bride","TV Movie","Bert Kish","","6.7","81","2013","comedy, family","1203","2013-11-09","http://www.imdb.com/title/tt3214240/"
"64","tt2964654","Sat Dec 19 15:41:49 2015","Sat Dec 19 15:41:49 2015","","Finding Christmas","TV Movie","Harvey Crossland","","6.5","","2013","","784","2013-12-15","http://www.imdb.com/title/tt2964654/"
"65","tt0383278","Sat Dec 19 15:42:11 2015","Sat Dec 19 15:42:11 2015","","Comfort and Joy","TV Movie","Maggie Greenwald","","6.2","85","2003","romance, comedy, drama","744","2003-12-01","http://www.imdb.com/title/tt0383278/"
"66","tt0480844","Sat Dec 19 15:42:53 2015","Sat Dec 19 15:42:53 2015","","Recipe for a Perfect Christmas","TV Movie","Sheldon Larry","","6.6","120","2005","comedy","627","2005-12-05","http://www.imdb.com/title/tt0480844/"
"67","tt2994382","Sat Dec 19 15:43:21 2015","Sat Dec 19 15:43:21 2015","","Window Wonderland","TV Movie","Michael M. Scott","","6.8","90","2013","comedy, family, romance","791","2013-11-23","http://www.imdb.com/title/tt2994382/"
"68","tt2374486","Sat Dec 19 15:44:07 2015","Sat Dec 19 15:44:07 2015","","Help for the Holidays","TV Movie","Bradford May","","7.0","90","2012","family, fantasy, romance","1095","2012-12-09","http://www.imdb.com/title/tt2374486/"
"69","tt0381942","Sat Dec 19 15:44:26 2015","Sat Dec 19 15:44:26 2015","","A Carol Christmas","TV Movie","Matthew Irmas","","5.4","92","2003","family, comedy, fantasy","797","2003-12-07","http://www.imdb.com/title/tt0381942/"
"70","tt1893218","Sat Dec 19 15:45:25 2015","Sat Dec 19 15:45:25 2015","","Dear Santa","TV Movie","Jason Priestley","","6.5","90","2011","drama","1114","2011-11-26","http://www.imdb.com/title/tt1893218/"
"71","tt0772185","Sat Dec 19 15:45:55 2015","Sat Dec 19 15:45:55 2015","","Santa Baby","TV Movie","Ron Underwood","","5.7","89","2006","comedy, fantasy","1185","2006-12-10","http://www.imdb.com/title/tt0772185/"
"72","tt3289944","Sat Dec 19 15:46:23 2015","Sat Dec 19 15:46:23 2015","","The Christmas Ornament","TV Movie","Mark Jean","","6.9","83","2013","romance","711","2013-11-16","http://www.imdb.com/title/tt3289944/"
"73","tt4767950","Sat Dec 19 15:46:39 2015","Sat Dec 19 15:46:39 2015","","A Christmas Detour","TV Movie","Ron Oliver","","6.2","85","2015","comedy","594","2015-11-28","http://www.imdb.com/title/tt4767950/"
"74","tt2415112","Sat Dec 19 15:47:09 2015","Sat Dec 19 15:47:09 2015","","A Bride for Christmas","TV Movie","Gary Yates","","6.5","84","2012","comedy, romance","1830","2012-12-01","http://www.imdb.com/title/tt2415112/"
"75","tt5031014","Sat Dec 19 15:47:32 2015","Sat Dec 19 15:47:32 2015","","Ice Sculpture Christmas","TV Movie","David Mackay","","6.8","83","2015","comedy, drama, romance","676","2015-11-07","http://www.imdb.com/title/tt5031014/"
"76","tt2622122","Sat Dec 19 15:48:40 2015","Sat Dec 19 15:48:40 2015","","Holidaze","TV Movie","Jerry Ciccoritti","","5.8","86","2013","drama, family, romance","992","2013-11-28","http://www.imdb.com/title/tt2622122/"
"77","tt3946792","Sat Dec 19 15:49:00 2015","Sat Dec 19 15:49:00 2015","","Mr. Miracle","TV Movie","Carl Bessai","","5.3","86","2014","comedy","204","2014-12-06","http://www.imdb.com/title/tt3946792/"
"78","tt0783494","Sat Dec 19 15:49:47 2015","Sat Dec 19 15:49:47 2015","","The Christmas Card","TV Movie","Stephen W. Bridgewater","","7.1","84","2006","family, romance","2199","2006-12-02","http://www.imdb.com/title/tt0783494/"
"79","tt2460976","Sat Dec 19 15:50:41 2015","Sat Dec 19 15:50:41 2015","","Love at the Christmas Table","TV Movie","Rachel Lee Goldenberg","","6.5","89","2012","comedy, drama, romance","1114","2012-11-25","http://www.imdb.com/title/tt2460976/"
"80","tt4766018","Sat Dec 19 15:51:24 2015","Sat Dec 19 15:51:24 2015","","Family for Christmas","TV Movie","Amanda Tapping","","6.5","","2015","drama","427","2015-07-11","http://www.imdb.com/title/tt4766018/"
"81","tt1720276","Sat Dec 19 15:51:51 2015","Sat Dec 19 15:51:51 2015","","The Town Christmas Forgot","TV Movie","John Bradshaw","","5.8","84","2010","comedy, family","416","2010-11-25","http://www.imdb.com/title/tt1720276/"
"82","tt5056034","Sat Dec 19 15:52:23 2015","Sat Dec 19 15:52:23 2015","","'Tis the Season for Love","TV Movie","Terry Ingram","","6.8","98","2015","comedy, romance","442","2015-11-01","http://www.imdb.com/title/tt5056034/"
"83","tt0290321","Sat Dec 19 15:52:39 2015","Sat Dec 19 15:52:39 2015","","A Town Without Christmas","TV Movie","Andy Wolk","","6.3","91","2001","drama, family","524","2001-12-16","http://www.imdb.com/title/tt0290321/"
"84","tt0080532","Sat Dec 19 15:52:52 2015","Sat Dec 19 15:52:52 2015","","A Christmas Without Snow","TV Movie","John Korty","","6.0","95","1980","drama, music","255","1980-12-09","http://www.imdb.com/title/tt0080532/"
"85","tt0226418","Sat Dec 19 15:53:15 2015","Sat Dec 19 15:53:15 2015","","A Season for Miracles","TV Movie","Michael Pressman","","7.7","100","1999","drama","892","1999-12-12","http://www.imdb.com/title/tt0226418/"
"86","tt5156770","Sat Dec 19 15:53:47 2015","Sat Dec 19 15:53:47 2015","","Charming Christmas","TV Movie","Craig Pryce","","6.4","","2015","drama, romance","463","2015-11-08","http://www.imdb.com/title/tt5156770/"
"87","tt3626180","Sat Dec 19 15:54:09 2015","Sat Dec 19 15:54:09 2015","","The Christmas Secret","TV Movie","Norma Bailey","","7.4","","2014","family","657","2014-11-23","http://www.imdb.com/title/tt3626180/"
"88","tt0329737","Sat Dec 19 15:54:44 2015","Sat Dec 19 15:54:44 2015","","It's a Very Merry Muppet Christmas Movie","TV Movie","Kirk R. Thatcher","","6.5","100","2002","adventure, comedy, family, musical","2637","2002-11-29","http://www.imdb.com/title/tt0329737/"
"89","tt1083992","Sat Dec 19 15:55:12 2015","Sat Dec 19 15:55:12 2015","","Holiday Switch","TV Movie","Bert Kish","","5.6","88","2007","comedy, fantasy","406","2007-12-01","http://www.imdb.com/title/tt1083992/"
"90","tt2228450","Sat Dec 19 15:55:25 2015","Sat Dec 19 15:55:25 2015","","Christmas Angel","TV Movie","Brian Herzlinger","","7.0","88","2012","drama, family","583","2012-10-23","http://www.imdb.com/title/tt2228450/"
