"position","const","created","modified","description","Title","Title type","Directors","Geekzrus rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"12","tt0066344","Thu Nov 17 13:21:01 2011","Thu Nov 17 13:21:01 2011","","Scrooge","Feature Film","Ronald Neame","","7.5","113","1970","drama, family, fantasy, musical, romance, thriller","6406","1970-11-05","http://www.imdb.com/title/tt0066344/"
"13","tt0099785","Thu Nov 17 13:23:25 2011","Thu Nov 17 13:23:25 2011","","Home Alone","Feature Film","Chris Columbus","","7.5","103","1990","comedy, family","306781","1990-11-10","http://www.imdb.com/title/tt0099785/"
"14","tt0066327","Thu Nov 17 13:25:47 2011","Thu Nov 17 13:25:47 2011","","Santa Claus Is Comin' to Town","TV Movie","Jules Bass, Arthur Rankin Jr.","","7.8","48","1970","animation, family, fantasy, musical","7273","1970-12-14","http://www.imdb.com/title/tt0066327/"
"15","tt0104940","Thu Nov 17 13:26:03 2011","Thu Nov 17 13:26:03 2011","","The Muppet Christmas Carol","Feature Film","Brian Henson","","7.7","85","1992","comedy, drama, family, fantasy, musical","33577","1992-12-11","http://www.imdb.com/title/tt0104940/"
"16","tt0111070","Thu Nov 17 13:26:12 2011","Thu Nov 17 13:26:12 2011","","The Santa Clause","Feature Film","John Pasquin","","6.4","97","1994","comedy, drama, family, fantasy","64134","1994-11-11","http://www.imdb.com/title/tt0111070/"
"17","tt0097958","Thu Nov 17 13:28:53 2011","Thu Nov 17 13:28:53 2011","","National Lampoon's Christmas Vacation","Feature Film","Jeremiah Chechik","","7.6","97","1989","comedy","105156","1989-11-30","http://www.imdb.com/title/tt0097958/"
"18","tt0087056","Thu Nov 17 13:29:25 2011","Thu Nov 17 13:29:25 2011","","A Christmas Carol","TV Movie","Clive Donner","","7.9","100","1984","drama, family, fantasy","7857","1984-11-23","http://www.imdb.com/title/tt0087056/"
"19","tt0216621","Thu Nov 17 13:29:35 2011","Thu Nov 17 13:29:35 2011","","A Christmas Carol","TV Movie","David Jones","","7.4","95","1999","drama, fantasy","5954","1999-12-05","http://www.imdb.com/title/tt0216621/"
"20","tt0141109","Thu Nov 17 13:29:47 2011","Thu Nov 17 13:29:47 2011","","Jack Frost","Feature Film","Troy Miller","","5.2","101","1998","comedy, drama, family, fantasy","24214","1998-12-05","http://www.imdb.com/title/tt0141109/"
"21","tt0058536","Thu Nov 17 13:30:31 2011","Thu Nov 17 13:30:31 2011","","Rudolph, the Red-Nosed Reindeer","TV Movie","Larry Roemer","","8.1","47","1964","animation, adventure, family, fantasy, musical","16834","1964-12-06","http://www.imdb.com/title/tt0058536/"
"22","tt0060345","Thu Nov 17 13:30:58 2011","Thu Nov 17 13:30:58 2011","","How the Grinch Stole Christmas!","TV Movie","Chuck Jones, Ben Washam","","8.4","26","1966","animation, comedy, family, fantasy, musical","32280","1966-12-18","http://www.imdb.com/title/tt0060345/"
"23","tt0072424","Thu Nov 17 13:31:50 2011","Thu Nov 17 13:31:50 2011","","The Year Without a Santa Claus","TV Movie","Jules Bass, Arthur Rankin Jr.","","7.9","51","1974","animation, comedy, family, fantasy, musical","4775","1974-12-10","http://www.imdb.com/title/tt0072424/"
"24","tt0104431","Thu Nov 17 13:32:21 2011","Thu Nov 17 13:32:21 2011","","Home Alone 2: Lost in New York","Feature Film","Chris Columbus","","6.6","120","1992","adventure, comedy, family","196841","1992-11-15","http://www.imdb.com/title/tt0104431/"
"25","tt1067106","Thu Nov 17 13:32:34 2011","Thu Nov 17 13:32:34 2011","","A Christmas Carol","Feature Film","Robert Zemeckis","","6.8","96","2009","animation, drama, family, fantasy","71990","2009-11-03","http://www.imdb.com/title/tt1067106/"
"26","tt0123179","Thu Nov 17 13:32:47 2011","Thu Nov 17 13:32:47 2011","","Mister Magoo's Christmas Carol","TV Movie","Abe Levitow","","7.8","53","1962","animation, comedy, drama, family, fantasy, musical","1834","1962-12-18","http://www.imdb.com/title/tt0123179/"
"27","tt0026972","Thu Nov 17 13:34:00 2011","Thu Nov 17 13:34:00 2011","","Scrooge","Feature Film","Henry Edwards","","6.6","78","1935","drama, family, fantasy","1118","1935-11-26","http://www.imdb.com/title/tt0026972/"
"28","tt0078764","Thu Nov 17 13:34:18 2011","Thu Nov 17 13:34:18 2011","","An American Christmas Carol","TV Movie","Eric Till","","6.8","98","1979","drama, fantasy","754","1979-12-16","http://www.imdb.com/title/tt0078764/"
"29","tt0054649","Thu Nov 17 13:34:27 2011","Thu Nov 17 13:34:27 2011","","Babes in Toyland","Feature Film","Jack Donohue","","6.3","106","1961","comedy, family, fantasy, musical, romance","2481","1961-12-14","http://www.imdb.com/title/tt0054649/"
"30","tt0155753","Thu Nov 17 13:35:11 2011","Thu Nov 17 13:35:11 2011","","I'll Be Home for Christmas","Feature Film","Arlene Sanford","","5.4","86","1998","comedy, family","6619","1998-11-13","http://www.imdb.com/title/tt0155753/"
"31","tt0090840","Thu Nov 17 13:35:24 2011","Thu Nov 17 13:35:24 2011","","The Christmas Star","Feature Film","Alan Shapiro","","6.7","94","1986","drama, family","191","1986-12-14","http://www.imdb.com/title/tt0090840/"
"32","tt0170016","Thu Nov 17 13:35:47 2011","Thu Nov 17 13:35:47 2011","","How the Grinch Stole Christmas","Feature Film","Ron Howard","","6.0","104","2000","comedy, family, fantasy","140221","2000-11-08","http://www.imdb.com/title/tt0170016/"
"33","tt0059026","Thu Nov 17 13:35:54 2011","Thu Nov 17 13:35:54 2011","","A Charlie Brown Christmas","TV Movie","Bill Melendez","","8.4","25","1965","animation, comedy, family","21611","1965-12-09","http://www.imdb.com/title/tt0059026/"
"34","tt0064349","Thu Nov 17 13:36:02 2011","Thu Nov 17 13:36:02 2011","","Frosty the Snowman","TV Movie","Jules Bass, Arthur Rankin Jr.","","7.4","25","1969","animation, comedy, family, fantasy, musical","9091","1969-12-07","http://www.imdb.com/title/tt0064349/"
"35","tt0073640","Thu Nov 17 13:36:08 2011","Thu Nov 17 13:36:08 2011","","Rudolph's Shiny New Year","TV Movie","Jules Bass, Arthur Rankin Jr.","","6.7","60","1976","animation, family, fantasy, musical","2012","1976-12-10","http://www.imdb.com/title/tt0073640/"
"36","tt0099787","Thu Nov 17 13:36:44 2011","Thu Nov 17 13:36:44 2011","","Home for Christmas","TV Movie","Peter McCubbin","","5.4","95","1990","drama, family","126","1990","http://www.imdb.com/title/tt0099787/"
"37","tt0077333","Thu Nov 17 13:36:57 2011","Thu Nov 17 13:36:57 2011","","A Christmas to Remember","TV Movie","George Englund","","7.5","100","1978","family, drama","97","1978-12-22","http://www.imdb.com/title/tt0077333/"
"38","tt0307987","Thu Nov 17 13:37:08 2011","Thu Nov 17 13:37:08 2011","","Bad Santa","Feature Film","Terry Zwigoff","","7.1","91","2003","comedy, crime, drama","106958","2003-11-26","http://www.imdb.com/title/tt0307987/"
"39","tt1146433","Thu Nov 17 13:37:16 2011","Thu Nov 17 13:37:16 2011","","A Chipmunk Christmas","TV Movie","Phil Monroe","","7.3","30","1981","animation, family","298","1981-12-14","http://www.imdb.com/title/tt1146433/"
"40","tt0071222","Thu Nov 17 13:39:27 2011","Thu Nov 17 13:39:27 2011","","Black Christmas","Feature Film","Bob Clark","","7.2","98","1974","horror, mystery, thriller","21456","1974-10-11","http://www.imdb.com/title/tt0071222/"
"41","tt0454082","Thu Nov 17 13:39:42 2011","Thu Nov 17 13:39:42 2011","","Black Christmas","Feature Film","Glen Morgan","","4.5","84","2006","horror","19769","2006-12-15","http://www.imdb.com/title/tt0454082/"
"42","tt0480008","Thu Nov 17 13:40:24 2011","Thu Nov 17 13:40:24 2011","","Chasing Christmas","TV Movie","Ron Oliver","","5.4","120","2005","comedy, fantasy","523","2005-12-04","http://www.imdb.com/title/tt0480008/"
"43","tt0032247","Thu Nov 17 13:41:04 2011","Thu Nov 17 13:41:04 2011","","Beyond Tomorrow","Feature Film","A. Edward Sutherland","","6.7","84","1940","drama, fantasy, romance","800","1940-05-10","http://www.imdb.com/title/tt0032247/"
"44","tt0338348","Thu Nov 17 13:41:55 2011","Thu Nov 17 13:41:55 2011","","The Polar Express","Feature Film","Robert Zemeckis","","6.6","100","2004","animation, adventure, family, fantasy","119621","2004-10-21","http://www.imdb.com/title/tt0338348/"
"45","tt0999872","Thu Nov 17 13:45:18 2011","Thu Nov 17 13:45:18 2011","","Thomas Kinkade's Christmas Cottage","Feature Film","Michael Campus","","6.5","103","2008","biography, drama","1818","2008-11-11","http://www.imdb.com/title/tt0999872/"
"46","tt1410013","Thu Nov 17 13:49:23 2011","Thu Nov 17 13:49:23 2011","","Christmas in Canaan","TV Movie","Neill Fearnley","","7.1","86","2009","drama, family","344","2009-12-12","http://www.imdb.com/title/tt1410013/"
"47","tt0116321","Thu Nov 17 13:50:35 2011","Thu Nov 17 13:50:35 2011","","The Flintstones Christmas in Bedrock","Video","","","7.3","30","1996","animation","107","1996","http://www.imdb.com/title/tt0116321/"
"48","tt1401143","Thu Nov 17 13:51:01 2011","Thu Nov 17 13:51:01 2011","","Rare Exports: A Christmas Tale","Feature Film","Jalmari Helander","","6.7","84","2010","adventure, fantasy, horror","19849","2010-08-07","http://www.imdb.com/title/tt1401143/"
"49","tt0497025","Thu Nov 17 13:53:05 2011","Thu Nov 17 13:53:05 2011","","Christmas in Boston","TV Movie","Neill Fearnley","","6.3","90","2005","comedy, romance","1626","2005-12-14","http://www.imdb.com/title/tt0497025/"
"50","tt0343531","Thu Nov 17 13:54:18 2011","Thu Nov 17 13:54:18 2011","","A Christmas Visitor","TV Movie","Christopher Leitch","","7.1","100","2002","drama","631","2002-12-21","http://www.imdb.com/title/tt0343531/"
"51","tt0388419","Thu Nov 17 13:56:56 2011","Thu Nov 17 13:56:56 2011","","Christmas with the Kranks","Feature Film","Joe Roth","","5.2","99","2004","comedy, family","27341","2004-11-15","http://www.imdb.com/title/tt0388419/"
"52","tt0488658","Thu Nov 17 13:58:05 2011","Thu Nov 17 13:58:05 2011","","Unaccompanied Minors","Feature Film","Paul Feig","","5.1","90","2006","adventure, comedy, family, romance","8310","2006-11-30","http://www.imdb.com/title/tt0488658/"
"53","tt1356395","Thu Nov 17 13:58:14 2011","Thu Nov 17 13:58:14 2011","","The Dog Who Saved Christmas","TV Movie","Michael Feifer","","4.8","89","2009","comedy","500","2009-11-29","http://www.imdb.com/title/tt1356395/"
"54","tt0252028","Thu Nov 17 13:58:22 2011","Thu Nov 17 13:58:22 2011","","Surviving Christmas","Feature Film","Mike Mitchell","","5.3","91","2004","comedy, romance","17273","2004-10-22","http://www.imdb.com/title/tt0252028/"
"55","tt0486583","Thu Nov 17 13:58:53 2011","Thu Nov 17 13:58:53 2011","","Fred Claus","Feature Film","David Dobkin","","5.6","116","2007","comedy, family, fantasy","31356","2007-11-03","http://www.imdb.com/title/tt0486583/"
"56","tt0452681","Thu Nov 17 13:59:00 2011","Thu Nov 17 13:59:00 2011","","The Santa Clause 3: The Escape Clause","Feature Film","Michael Lembeck","","4.6","97","2006","adventure, comedy, family, fantasy","21383","2006-11-02","http://www.imdb.com/title/tt0452681/"
"57","tt0938666","Thu Nov 17 13:59:08 2011","Thu Nov 17 13:59:08 2011","","Holiday in Handcuffs","TV Movie","Ron Underwood","","6.4","86","2007","comedy, crime, family, romance","4281","2007-12-09","http://www.imdb.com/title/tt0938666/"
"58","tt0425468","Thu Nov 17 13:59:18 2011","Thu Nov 17 13:59:18 2011","","Snow","TV Movie","Alex Zamm","","6.6","120","2004","comedy, family, fantasy","906","2004-12-13","http://www.imdb.com/title/tt0425468/"
"59","tt1334278","Thu Nov 17 13:59:25 2011","Thu Nov 17 13:59:25 2011","","Snow 2: Brain Freeze","TV Movie","Mark Rosman","","6.2","84","2008","family, fantasy","559","2008-12-14","http://www.imdb.com/title/tt1334278/"
"60","tt0790604","Thu Nov 17 13:59:32 2011","Thu Nov 17 13:59:32 2011","","Deck the Halls","Feature Film","John Whitesell","","4.9","93","2006","comedy, family","15650","2006-11-22","http://www.imdb.com/title/tt0790604/"
"61","tt0102988","Thu Nov 17 14:03:00 2011","Thu Nov 17 14:03:00 2011","","The Story Lady","TV Movie","Larry Elikann","8","7.4","94","1991","drama, family","311","1991-12-09","http://www.imdb.com/title/tt0102988/"
"62","tt0136755","Thu Nov 17 14:06:08 2011","Thu Nov 17 14:06:08 2011","","The Christmas List","TV Movie","Charles Jarrott","9","6.9","96","1997","comedy, fantasy, romance","946","1997-12-01","http://www.imdb.com/title/tt0136755/"
"63","tt0089731","Thu Nov 17 14:08:09 2011","Thu Nov 17 14:08:09 2011","","One Magic Christmas","Feature Film","Phillip Borsos","","6.7","89","1985","family, fantasy","2096","1985-11-22","http://www.imdb.com/title/tt0089731/"
"64","tt0098115","Thu Nov 17 14:08:40 2011","Thu Nov 17 14:08:40 2011","","Prancer","Feature Film","John Hancock","","6.3","103","1989","drama, family, fantasy","3114","1989-11-17","http://www.imdb.com/title/tt0098115/"
"65","tt0270317","Thu Nov 17 14:09:28 2011","Thu Nov 17 14:09:28 2011","","A Diva's Christmas Carol","TV Movie","Richard Schenkman","","6.4","120","2000","comedy, musical, fantasy, romance, drama","892","2000-12-13","http://www.imdb.com/title/tt0270317/"
"66","tt0383278","Thu Nov 17 14:09:58 2011","Thu Nov 17 14:09:58 2011","","Comfort and Joy","TV Movie","Maggie Greenwald","","6.2","85","2003","romance, comedy, drama","744","2003-12-01","http://www.imdb.com/title/tt0383278/"
"67","tt0846114","Thu Nov 17 14:10:14 2011","Thu Nov 17 14:10:14 2011","","Under the Mistletoe","TV Movie","George Mendeluk","","6.0","87","2006","drama, fantasy, romance","430","2006-12-04","http://www.imdb.com/title/tt0846114/"
"68","tt0457939","Thu Nov 17 14:11:28 2011","Thu Nov 17 14:11:28 2011","","The Holiday","Feature Film","Nancy Meyers","10","6.9","138","2006","comedy, romance","180655","2006-12-05","http://www.imdb.com/title/tt0457939/"
"69","tt0116705","Thu Nov 17 14:12:05 2011","Thu Nov 17 14:12:05 2011","","Jingle All the Way","Feature Film","Brian Levant","","5.4","89","1996","comedy, family","67899","1996-11-16","http://www.imdb.com/title/tt0116705/"
"70","tt0330152","Thu Nov 17 14:12:51 2011","Thu Nov 17 14:12:51 2011","","The Christmas Shoes","TV Movie","Andy Wolk","","6.9","100","2002","drama","1746","2002-12-01","http://www.imdb.com/title/tt0330152/"
"71","tt0783494","Thu Nov 17 14:13:46 2011","Thu Nov 17 14:13:46 2011","","The Christmas Card","TV Movie","Stephen W. Bridgewater","","7.1","84","2006","family, romance","2199","2006-12-02","http://www.imdb.com/title/tt0783494/"
"72","tt0034862","Fri Nov 18 09:26:19 2011","Fri Nov 18 09:26:19 2011","","Holiday Inn","Feature Film","Mark Sandrich","","7.6","100","1942","comedy, drama, musical, romance","8628","1942-08-04","http://www.imdb.com/title/tt0034862/"
"73","tt0079357","Fri Nov 18 09:26:28 2011","Fri Nov 18 09:26:28 2011","","Jack Frost","TV Movie","Jules Bass, Arthur Rankin Jr.","","7.2","48","1979","animation, family, fantasy, musical","1724","1979-12-13","http://www.imdb.com/title/tt0079357/"
"74","tt0085334","Fri Nov 18 09:26:35 2011","Fri Nov 18 09:26:35 2011","","A Christmas Story","Feature Film","Bob Clark","","8.1","94","1983","comedy, family","104517","1983-11-18","http://www.imdb.com/title/tt0085334/"
"75","tt0338410","Fri Nov 18 09:26:42 2011","Fri Nov 18 09:26:42 2011","","Santa, Jr.","TV Movie","Kevin Connor","","5.7","100","2002","comedy, fantasy, romance","396","2002-12-06","http://www.imdb.com/title/tt0338410/"
"76","tt1264895","Fri Nov 18 09:26:49 2011","Fri Nov 18 09:26:49 2011","","Moonlight & Mistletoe","TV Movie","Karen Arthur","","6.2","87","2008","drama, family","791","2008-11-29","http://www.imdb.com/title/tt1264895/"
"77","tt0385567","Fri Nov 18 09:26:57 2011","Fri Nov 18 09:26:57 2011","","A Boyfriend for Christmas","TV Movie","Kevin Connor","","6.5","90","2004","romance, comedy, drama, family","2009","2004-11-27","http://www.imdb.com/title/tt0385567/"
"78","tt0301935","Fri Nov 18 09:27:04 2011","Fri Nov 18 09:27:04 2011","","Three Days","TV Movie","Michael Switzer","","7.2","120","2001","family, fantasy","724","2001-12-09","http://www.imdb.com/title/tt0301935/"
"79","tt0091975","Fri Nov 18 09:27:19 2011","Fri Nov 18 09:27:19 2011","","A Smoky Mountain Christmas","TV Movie","Henry Winkler","","7.2","94","1986","fantasy, music","731","1986-12-14","http://www.imdb.com/title/tt0091975/"
"80","tt0325849","Fri Nov 18 09:27:24 2011","Fri Nov 18 09:27:24 2011","","Mr. St. Nick","TV Movie","Craig Zisk","","5.1","100","2002","comedy, fantasy","575","2002-11-16","http://www.imdb.com/title/tt0325849/"
"81","tt0772185","Fri Nov 18 09:27:34 2011","Fri Nov 18 09:27:34 2011","","Santa Baby","TV Movie","Ron Underwood","","5.7","89","2006","comedy, fantasy","1185","2006-12-10","http://www.imdb.com/title/tt0772185/"
"82","tt0991150","Fri Nov 18 09:27:41 2011","Fri Nov 18 09:27:41 2011","","Christmas in Wonderland","Feature Film","James Orr","","4.8","95","2007","comedy, crime, family","1511","2007-11-09","http://www.imdb.com/title/tt0991150/"
"83","tt0111477","Fri Nov 18 09:30:15 2011","Fri Nov 18 09:30:15 2011","","Trapped in Paradise","Feature Film","George Gallo","","5.9","111","1994","adventure, comedy, crime, romance","9960","1994-11-21","http://www.imdb.com/title/tt0111477/"
"84","tt0041978","Fri Nov 18 09:30:36 2011","Fri Nov 18 09:30:36 2011","","Toy Tinkers","Short Film","Jack Hannah","","7.6","7","1949","animation, comedy, family","694","1949-12-16","http://www.imdb.com/title/tt0041978/"
"85","tt0937375","Fri Nov 18 09:30:55 2011","Fri Nov 18 09:30:55 2011","","This Christmas","Feature Film","Preston A. Whitmore II","","6.1","117","2007","comedy, drama, romance","6481","2007-10-25","http://www.imdb.com/title/tt0937375/"
"86","tt0811082","Fri Nov 18 09:31:57 2011","Fri Nov 18 09:31:57 2011","","Stalking Santa","Feature Film","Greg Kiefer","","5.4","82","2006","comedy","149","2006-04-01","http://www.imdb.com/title/tt0811082/"
"87","tt0058548","Fri Nov 18 09:33:00 2011","Fri Nov 18 09:33:00 2011","","Santa Claus Conquers the Martians","Feature Film","Nicholas Webster","","2.5","81","1964","adventure, comedy, family, fantasy, sci_fi","8730","1964-11-14","http://www.imdb.com/title/tt0058548/"
"88","tt0032981","Fri Nov 18 09:33:40 2011","Fri Nov 18 09:33:40 2011","","Remember the Night","Feature Film","Mitchell Leisen","","7.7","94","1940","comedy, drama, romance","2875","1940-01-19","http://www.imdb.com/title/tt0032981/"
"89","tt0282589","Fri Nov 18 09:35:58 2011","Fri Nov 18 09:35:58 2011","","I Saw Mommy Kissing Santa Claus","Feature Film","John Shepphird","","4.2","100","2002","comedy, family","930","2001-10-23","http://www.imdb.com/title/tt0282589/"
"90","tt0044659","Fri Nov 18 09:36:38 2011","Fri Nov 18 09:36:38 2011","","Gift Wrapped","Short Film","I. Freleng","","7.2","7","1952","family, animation, comedy","406","1952-02-16","http://www.imdb.com/title/tt0044659/"
"91","tt0405615","Fri Nov 18 17:14:34 2011","Fri Nov 18 17:14:34 2011","","The 12 Dogs of Christmas","Feature Film","Kieth Merrill","","5.5","102","2005","family","641","2005-11-01","http://www.imdb.com/title/tt0405615/"
"92","tt0309372","Fri Nov 18 17:15:13 2011","Fri Nov 18 17:15:13 2011","","Blizzard","Feature Film","LeVar Burton","","5.7","93","2003","comedy, family","729","2003-05-15","http://www.imdb.com/title/tt0309372/"
"93","tt0482629","Fri Nov 18 17:15:32 2011","Fri Nov 18 17:15:32 2011","","The Ultimate Gift","Feature Film","Michael O. Sajbel","","7.4","114","2006","drama, family, romance","13998","2006-10-20","http://www.imdb.com/title/tt0482629/"
"94","tt0101301","Fri Nov 18 17:15:51 2011","Fri Nov 18 17:15:51 2011","","All I Want for Christmas","Feature Film","Robert Lieberman","","6.0","92","1991","comedy, family, romance","3149","1991-11-08","http://www.imdb.com/title/tt0101301/"
"95","tt0498361","Fri Nov 18 17:16:31 2011","Fri Nov 18 17:16:31 2011","","The Christmas Miracle of Jonathan Toomey","Feature Film","Bill Clark","","6.8","91","2007","family","690","2007-06-09","http://www.imdb.com/title/tt0498361/"
"96","tt0315398","Fri Nov 18 17:19:35 2011","Fri Nov 18 17:19:35 2011","","Christmas Rush","TV Movie","Charles Robert Carner","","5.5","100","2002","action, drama","616","2002-12-01","http://www.imdb.com/title/tt0315398/"
"97","tt0085231","Fri Nov 18 17:19:45 2011","Fri Nov 18 17:19:45 2011","","The Best Christmas Pageant Ever","TV Movie","George Schaefer","","7.3","48","1983","comedy, family","421","1983","http://www.imdb.com/title/tt0085231/"
"98","tt0155110","Fri Nov 18 17:19:55 2011","Fri Nov 18 17:19:55 2011","","Ri¢hie Ri¢h's Christmas Wish","Video","John Murlowski","","4.1","84","1998","family, comedy","1483","1998-11-03","http://www.imdb.com/title/tt0155110/"
"99","tt0027446","Fri Nov 18 17:20:10 2011","Fri Nov 18 17:20:10 2011","","Christmas Comes But Once a Year","Short Film","Dave Fleischer","","7.2","9","1936","animation","298","1936-12-04","http://www.imdb.com/title/tt0027446/"
"100","tt0367623","Sat Nov 19 19:08:52 2011","Sat Nov 19 19:08:52 2011","","Christmas Vacation 2: Cousin Eddie's Island Adventure","TV Movie","Nick Marck","","2.7","83","2003","comedy","2545","2003-12-20","http://www.imdb.com/title/tt0367623/"
"101","tt0116671","Sat Nov 19 19:19:11 2011","Sat Nov 19 19:19:11 2011","","Jack Frost","Video","Michael Cooney","","4.5","89","1997","comedy, fantasy, horror","5588","1997-11-18","http://www.imdb.com/title/tt0116671/"
"102","tt0393685","Sat Nov 19 19:19:47 2011","Sat Nov 19 19:19:47 2011","","Santa's Slay","Feature Film","David Steiman","","5.4","78","2005","comedy, fantasy, horror","7207","2005-10-25","http://www.imdb.com/title/tt0393685/"
"103","tt0239496","Sat Nov 19 19:20:47 2011","Sat Nov 19 19:20:47 2011","","Jack Frost 2: Revenge of the Mutant Killer Snowman","Video","Michael Cooney","","3.7","91","2000","comedy, fantasy, horror","2094","2000-11-21","http://www.imdb.com/title/tt0239496/"
"104","tt0087363","Sat Nov 19 19:23:26 2011","Sat Nov 19 19:23:26 2011","","Gremlins","Feature Film","Joe Dante","","7.2","106","1984","comedy, fantasy, horror","139535","1984-06-08","http://www.imdb.com/title/tt0087363/"
"105","tt0098554","Sat Nov 19 19:30:35 2011","Sat Nov 19 19:30:35 2011","","Uncle Buck","Feature Film","John Hughes","","7.0","100","1989","comedy","62392","1989-08-16","http://www.imdb.com/title/tt0098554/"
"106","tt0319343","Sat Nov 19 19:31:21 2011","Sat Nov 19 19:31:21 2011","","Elf","Feature Film","Jon Favreau","","6.9","97","2003","comedy, family, fantasy, romance","146487","2003-10-09","http://www.imdb.com/title/tt0319343/"
"107","tt0314331","Sun Nov 20 07:19:10 2011","Sun Nov 20 07:19:10 2011","","Love Actually","Feature Film","Richard Curtis","","7.7","135","2003","comedy, drama, romance","315910","2003-09-07","http://www.imdb.com/title/tt0314331/"
"108","tt1855134","Sun Nov 20 10:49:37 2011","Sun Nov 20 10:49:37 2011","","Beethoven's Christmas Adventure","Video","John Putch","","4.6","90","2011","comedy, fantasy","676","2011-11-08","http://www.imdb.com/title/tt1855134/"
"109","tt0897387","Sun Nov 20 17:04:22 2011","Sun Nov 20 17:04:22 2011","","Shrek the Halls","TV Movie","Gary Trousdale","","6.5","30","2007","animation, adventure, comedy, family, fantasy","9456","2007-11-28","http://www.imdb.com/title/tt0897387/"
"110","tt0085282","Thu Nov 24 05:51:52 2011","Thu Nov 24 05:51:52 2011","","Bush Christmas","Feature Film","Henri Safran","","5.5","91","1983","drama, family","151","1983-12-22","http://www.imdb.com/title/tt0085282/"
"111","tt1754455","Thu Nov 24 05:52:17 2011","Thu Nov 24 05:52:17 2011","","Santa's Apprentice","Feature Film","Luc Vinciguerra","","6.5","80","2010","animation, comedy","202","2010-11-24","http://www.imdb.com/title/tt1754455/"
"112","tt1292569","Thu Nov 24 05:56:29 2011","Thu Nov 24 05:56:29 2011","","A Muppets Christmas: Letters to Santa","TV Movie","Kirk R. Thatcher","","6.6","60","2008","comedy, family, music","1141","2008-11-21","http://www.imdb.com/title/tt1292569/"
"113","tt0840303","Fri Nov 25 08:02:39 2011","Fri Nov 25 08:02:39 2011","","Christmas Do-Over","TV Movie","Catherine Cyran","","5.8","90","2006","comedy, family, fantasy","871","2006-12-16","http://www.imdb.com/title/tt0840303/"
"114","tt1699746","Fri Nov 25 08:02:53 2011","Fri Nov 25 08:02:53 2011","","Christmas Cupid","TV Movie","Gil Junger","","5.7","85","2010","comedy, family, fantasy, romance","2722","2010-12-12","http://www.imdb.com/title/tt1699746/"
