"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"40","tt0032981","Sat Mar 12 05:54:05 2011","Sat Mar 12 05:54:05 2011","","Remember the Night","Feature Film","Mitchell Leisen","7.7","94","1940","comedy, drama, romance","2875","1940-01-19","http://www.imdb.com/title/tt0032981/"
"41","tt0068720","Fri Dec  5 06:02:54 2014","Fri Dec  5 06:02:54 2014","","The House Without a Christmas Tree","TV Movie","Paul Bogart","8.1","75","1972","drama","484","1972-12-03","http://www.imdb.com/title/tt0068720/"
"42","tt0897387","Tue Dec 15 06:40:15 2015","Tue Dec 15 06:40:15 2015","","Shrek the Halls","TV Movie","Gary Trousdale","6.5","30","2007","animation, adventure, comedy, family, fantasy","9456","2007-11-28","http://www.imdb.com/title/tt0897387/"
"43","tt0240890","Sat Nov 15 08:10:11 2014","Sat Nov 15 08:10:11 2014","","Serendipity","Feature Film","Peter Chelsom","6.9","90","2001","comedy, romance","84643","2001-09-13","http://www.imdb.com/title/tt0240890/"
"44","tt1150947","Fri Dec  6 02:53:00 2013","Fri Dec  6 02:53:00 2013","","Lovely, Still","Feature Film","Nik Fackler","7.3","92","2008","drama, romance","1544","2008-09-05","http://www.imdb.com/title/tt1150947/"
"45","tt0993789","Fri Dec  6 02:40:30 2013","Fri Dec  6 02:40:30 2013","","A Christmas Tale","Feature Film","Arnaud Desplechin","7.1","150","2008","comedy, drama","5363","2008-05-16","http://www.imdb.com/title/tt0993789/"
"46","tt0116705","Sat Mar 12 05:36:34 2011","Sat Mar 12 05:36:34 2011","","Jingle All the Way","Feature Film","Brian Levant","5.4","89","1996","comedy, family","67899","1996-11-16","http://www.imdb.com/title/tt0116705/"
"47","tt0252028","Sat Mar 12 05:37:17 2011","Sat Mar 12 05:37:17 2011","","Surviving Christmas","Feature Film","Mike Mitchell","5.3","91","2004","comedy, romance","17273","2004-10-22","http://www.imdb.com/title/tt0252028/"
"48","tt0497025","Fri Dec  6 07:30:42 2013","Fri Dec  6 07:30:42 2013","","Christmas in Boston","TV Movie","Neill Fearnley","6.3","90","2005","comedy, romance","1626","2005-12-14","http://www.imdb.com/title/tt0497025/"
"49","tt0772176","Fri Dec  6 05:12:12 2013","Fri Dec  6 05:12:12 2013","","Christmas Story","Feature Film","Juha Wuolijoki","7.0","83","2007","drama, family, fantasy","2356","2007-11-04","http://www.imdb.com/title/tt0772176/"
"50","tt0762121","Thu Dec 24 03:15:28 2015","Thu Dec 24 03:15:28 2015","","The Nativity Story","Feature Film","Catherine Hardwicke","6.8","101","2006","drama, family","8086","2006-11-24","http://www.imdb.com/title/tt0762121/"
"51","tt1702433","Sun Nov 16 02:16:59 2014","Sun Nov 16 02:16:59 2014","","Kung Fu Panda Holiday","Short Film","Tim Johnson","6.9","21","2010","animation, comedy, family","3617","2010-11-24","http://www.imdb.com/title/tt1702433/"
"52","tt0433400","Fri Dec  6 01:46:23 2013","Fri Dec  6 01:46:23 2013","","Just Friends","Feature Film","Roger Kumble","6.2","96","2005","comedy, romance","81231","2005-11-23","http://www.imdb.com/title/tt0433400/"
"53","tt1714827","Mon Nov 17 03:47:15 2014","Mon Nov 17 03:47:15 2014","","The Santa Suit","TV Movie","Robert Vaughn","6.8","89","2010","comedy, fantasy","477","2010-12-02","http://www.imdb.com/title/tt1714827/"
"54","tt0037595","Sat Jun 11 07:38:55 2011","Sat Jun 11 07:38:55 2011","","Christmas in Connecticut","Feature Film","Peter Godfrey","7.5","102","1945","comedy, romance","4754","1945-07-20","http://www.imdb.com/title/tt0037595/"
"55","tt0383534","Sat Mar 12 05:44:23 2011","Sat Mar 12 05:44:23 2011","","Noel","Feature Film","Chazz Palminteri","6.3","96","2004","drama","6839","2004-09-12","http://www.imdb.com/title/tt0383534/"
"56","tt0041473","Sat Jun 11 07:41:31 2011","Sat Jun 11 07:41:31 2011","","Holiday Affair","Feature Film","Don Hartman","7.2","87","1949","comedy, drama, romance","2659","1949-11-23","http://www.imdb.com/title/tt0041473/"
"57","tt0388419","Sat Mar 12 05:37:04 2011","Sat Mar 12 05:37:04 2011","","Christmas with the Kranks","Feature Film","Joe Roth","5.2","99","2004","comedy, family","27341","2004-11-15","http://www.imdb.com/title/tt0388419/"
"58","tt5133572","Thu Dec 10 08:13:09 2015","Thu Dec 10 08:13:09 2015","","Crown for Christmas","TV Movie","Alex Zamm","7.2","86","2015","comedy, romance","896","2015-11-27","http://www.imdb.com/title/tt5133572/"
"59","tt1430607","Fri Dec  6 01:29:17 2013","Fri Dec  6 01:29:17 2013","","Arthur Christmas","Feature Film","Sarah Smith, Barry Cook","7.1","97","2011","animation, adventure, comedy, family, fantasy","35207","2011-11-11","http://www.imdb.com/title/tt1430607/"
"60","tt3043594","Sun Dec  8 07:36:43 2013","Sun Dec  8 07:36:43 2013","","Kristin's Christmas Past","TV Movie","Jim Fall","6.5","83","2013","comedy, family","482","2013-11-23","http://www.imdb.com/title/tt3043594/"
"61","tt0089731","Sat Mar 12 05:42:47 2011","Sat Mar 12 05:42:47 2011","","One Magic Christmas","Feature Film","Phillip Borsos","6.7","89","1985","family, fantasy","2096","1985-11-22","http://www.imdb.com/title/tt0089731/"
"62","tt0032247","Sat Mar 12 06:01:34 2011","Sat Mar 12 06:01:34 2011","","Beyond Tomorrow","Feature Film","A. Edward Sutherland","6.7","84","1940","drama, fantasy, romance","800","1940-05-10","http://www.imdb.com/title/tt0032247/"
"63","tt0043733","Sat Mar 12 05:48:51 2011","Sat Mar 12 05:48:51 2011","","The Lemon Drop Kid","Feature Film","Sidney Lanfield","7.2","91","1951","comedy, music, romance","1210","1951-03-08","http://www.imdb.com/title/tt0043733/"
"64","tt0783494","Sat Jun 11 07:59:17 2011","Sat Jun 11 07:59:17 2011","","The Christmas Card","TV Movie","Stephen W. Bridgewater","7.1","84","2006","family, romance","2199","2006-12-02","http://www.imdb.com/title/tt0783494/"
"65","tt0111477","Fri Nov 14 08:47:27 2014","Fri Nov 14 08:47:27 2014","","Trapped in Paradise","Feature Film","George Gallo","5.9","111","1994","adventure, comedy, crime, romance","9960","1994-11-21","http://www.imdb.com/title/tt0111477/"
"66","tt1242447","Fri Dec  6 01:46:08 2013","Fri Dec  6 01:46:08 2013","","Nativity!","Feature Film","Debbie Isitt","6.5","105","2009","comedy, family","4391","2009-11-27","http://www.imdb.com/title/tt1242447/"
"67","tt0938666","Sun Nov 30 03:10:12 2014","Sun Nov 30 03:10:12 2014","","Holiday in Handcuffs","TV Movie","Ron Underwood","6.4","86","2007","comedy, crime, family, romance","4281","2007-12-09","http://www.imdb.com/title/tt0938666/"
"68","tt0064349","Sat Mar 12 06:00:44 2011","Sat Mar 12 06:00:44 2011","","Frosty the Snowman","TV Movie","Jules Bass, Arthur Rankin Jr.","7.4","25","1969","animation, comedy, family, fantasy, musical","9091","1969-12-07","http://www.imdb.com/title/tt0064349/"
"69","tt0110538","Fri Nov 14 09:07:52 2014","Fri Nov 14 09:07:52 2014","","Mixed Nuts","Feature Film","Nora Ephron","5.3","97","1994","comedy, drama","7950","1994-12-21","http://www.imdb.com/title/tt0110538/"
"70","tt1431115","Fri Nov 14 09:08:34 2014","Fri Nov 14 09:08:34 2014","","Mrs. Miracle","TV Movie","Michael M. Scott","6.7","90","2009","comedy, family, fantasy, romance","1644","2009-12-05","http://www.imdb.com/title/tt1431115/"
"71","tt1268799","Fri Dec  6 01:20:15 2013","Fri Dec  6 01:20:15 2013","","A Very Harold & Kumar 3D Christmas","Feature Film","Todd Strauss-Schulson","6.3","90","2011","adventure, comedy","54534","2011-11-04","http://www.imdb.com/title/tt1268799/"
"72","tt1846442","Mon Dec  9 07:41:59 2013","Mon Dec  9 07:41:59 2013","","12 Dates of Christmas","TV Movie","James Hayman","6.3","90","2011","comedy, fantasy, romance","2786","2011-12-11","http://www.imdb.com/title/tt1846442/"
"73","tt1151915","Sat Mar 12 06:18:31 2011","Sat Mar 12 06:18:31 2011","","Nothing Like the Holidays","Feature Film","Alfredo De Villa","6.2","98","2008","comedy, drama, romance","3020","2008-11-11","http://www.imdb.com/title/tt1151915/"
"74","tt0293815","Sat Mar 12 05:37:51 2011","Sat Mar 12 05:37:51 2011","","Friday After Next","Feature Film","Marcus Raboy","5.8","85","2002","comedy, drama","18964","2002-11-22","http://www.imdb.com/title/tt0293815/"
"75","tt3004544","Sun Dec  8 07:43:35 2013","Thu Dec 12 05:52:10 2013","Also check out ""Everyday is Christmas (1996)""

They're very similar and are obviously inspired by Groundhog Day.","Pete's Christmas","TV Movie","Nisha Ganatra","6.2","86","2013","family, fantasy","796","2013-11-01","http://www.imdb.com/title/tt3004544/"
"76","tt1708658","Fri Dec  6 02:14:54 2013","Fri Dec  6 02:14:54 2013","","November Christmas","TV Movie","Robert Harmon","7.7","96","2010","drama","896","2010-11-28","http://www.imdb.com/title/tt1708658/"
"77","tt0790604","Sat Mar 12 05:39:22 2011","Sat Mar 12 05:39:22 2011","","Deck the Halls","Feature Film","John Whitesell","4.9","93","2006","comedy, family","15650","2006-11-22","http://www.imdb.com/title/tt0790604/"
"78","tt2374486","Fri Dec  6 01:50:59 2013","Fri Dec  6 01:50:59 2013","","Help for the Holidays","TV Movie","Bradford May","7.0","90","2012","family, fantasy, romance","1095","2012-12-09","http://www.imdb.com/title/tt2374486/"
"79","tt0385567","Sat Mar 12 06:23:09 2011","Sat Mar 12 06:23:09 2011","","A Boyfriend for Christmas","TV Movie","Kevin Connor","6.5","90","2004","romance, comedy, drama, family","2009","2004-11-27","http://www.imdb.com/title/tt0385567/"
"80","tt0498361","Fri Nov 14 04:47:05 2014","Fri Nov 14 04:47:05 2014","","The Christmas Miracle of Jonathan Toomey","Feature Film","Bill Clark","6.8","91","2007","family","690","2007-06-09","http://www.imdb.com/title/tt0498361/"
"81","tt0184858","Sat Mar 12 05:40:15 2011","Sat Mar 12 05:40:15 2011","","Reindeer Games","Feature Film","John Frankenheimer","5.7","104","2000","action, crime, drama, romance, thriller","30857","2000-02-24","http://www.imdb.com/title/tt0184858/"
"82","tt0369436","Sat Mar 12 05:40:31 2011","Sat Mar 12 05:40:31 2011","","Four Christmases","Feature Film","Seth Gordon","5.6","88","2008","comedy, drama, romance","48165","2008-11-20","http://www.imdb.com/title/tt0369436/"
"83","tt1462901","Fri Nov 14 08:49:25 2014","Fri Nov 14 08:49:25 2014","","All Is Bright","Feature Film","Phil Morrison","5.6","107","2013","comedy, drama","4431","2013-04-18","http://www.imdb.com/title/tt1462901/"
"84","tt3101386","Fri Nov 14 04:25:49 2014","Fri Nov 14 04:33:36 2014","","The Christmas Spirit","TV Movie","Jack Angelo","6.2","","2013","comedy, drama, romance","487","2013-12-01","http://www.imdb.com/title/tt3101386/"
"85","tt1327788","Sat Jun 11 07:57:49 2011","Sat Jun 11 07:57:49 2011","","The Most Wonderful Time of the Year","TV Movie","Michael M. Scott","7.3","88","2008","comedy, drama, family, romance","1693","2008-12-13","http://www.imdb.com/title/tt1327788/"
"86","tt3703148","Thu Nov  5 06:34:16 2015","Wed Dec  9 11:12:06 2015","","Christmas Eve","Feature Film","Mitch Davis","5.1","95","2015","comedy","1062","2015-12-04","http://www.imdb.com/title/tt3703148/"
"87","tt3801438","Fri Nov 14 04:25:59 2014","Fri Nov 14 04:25:59 2014","","Grumpy Cat's Worst Christmas Ever","TV Movie","Tim Hill","5.2","85","2014","adventure, comedy","1594","2014-11-29","http://www.imdb.com/title/tt3801438/"
"88","tt1068284","Fri Nov 14 05:34:13 2014","Fri Nov 14 05:34:13 2014","","Snowglobe","TV Movie","Ron Lagomarsino","6.1","86","2007","comedy, family, fantasy, romance","1457","2007-12-15","http://www.imdb.com/title/tt1068284/"
"89","tt0226418","Sun Dec  8 05:06:13 2013","Sun Dec  8 05:06:13 2013","","A Season for Miracles","TV Movie","Michael Pressman","7.7","100","1999","drama","892","1999-12-12","http://www.imdb.com/title/tt0226418/"
"90","tt0330152","Fri Dec  6 01:29:22 2013","Fri Dec  6 01:29:22 2013","","The Christmas Shoes","TV Movie","Andy Wolk","6.9","100","2002","drama","1746","2002-12-01","http://www.imdb.com/title/tt0330152/"
"91","tt0950740","Sat Jun 11 07:58:30 2011","Sat Jun 11 07:58:30 2011","","A Grandpa for Christmas","TV Movie","Harvey Frost","7.0","90","2007","comedy, drama","726","2007-11-24","http://www.imdb.com/title/tt0950740/"
"92","tt1663628","Fri Nov 14 04:43:02 2014","Fri Nov 14 04:43:02 2014","","Christmas Mail","Feature Film","John Murlowski","5.8","89","2010","comedy, drama, family, romance","850","2010-12-12","http://www.imdb.com/title/tt1663628/"
"93","tt2994382","Fri Nov 14 04:58:23 2014","Fri Nov 14 04:58:23 2014","","Window Wonderland","TV Movie","Michael M. Scott","6.8","90","2013","comedy, family, romance","791","2013-11-23","http://www.imdb.com/title/tt2994382/"
"94","tt0101301","Sat Mar 12 06:30:36 2011","Sat Mar 12 06:30:36 2011","","All I Want for Christmas","Feature Film","Robert Lieberman","6.0","92","1991","comedy, family, romance","3149","1991-11-08","http://www.imdb.com/title/tt0101301/"
"95","tt0256466","Sat Mar 12 06:20:20 2011","Sat Mar 12 06:20:20 2011","","The Ultimate Christmas Present","TV Movie","Greg Beeman","6.0","85","2000","comedy, family","1141","2000-12-01","http://www.imdb.com/title/tt0256466/"
"96","tt0271263","Sat Mar 12 05:30:29 2011","Sat Mar 12 05:30:29 2011","","Eight Crazy Nights","Feature Film","Seth Kearsley","5.4","76","2002","animation, comedy, musical","17981","2002-11-27","http://www.imdb.com/title/tt0271263/"
"97","tt0141109","Sat Mar 12 05:39:47 2011","Sat Mar 12 05:39:47 2011","","Jack Frost","Feature Film","Troy Miller","5.2","101","1998","comedy, drama, family, fantasy","24214","1998-12-05","http://www.imdb.com/title/tt0141109/"
"98","tt0486583","Fri Dec  5 04:18:29 2014","Fri Dec  5 04:18:29 2014","","Fred Claus","Feature Film","David Dobkin","5.6","116","2007","comedy, family, fantasy","31356","2007-11-03","http://www.imdb.com/title/tt0486583/"
"99","tt0251382","Sat Jun 11 07:53:20 2011","Sat Jun 11 07:53:20 2011","","Santa Who?","TV Movie","William Dear","5.2","92","2000","comedy, fantasy","1320","2000-11-19","http://www.imdb.com/title/tt0251382/"
"100","tt0155753","Tue Dec 15 06:48:07 2015","Tue Dec 15 06:48:07 2015","","I'll Be Home for Christmas","Feature Film","Arlene Sanford","5.4","86","1998","comedy, family","6619","1998-11-13","http://www.imdb.com/title/tt0155753/"
