"position","const","created","modified","description","Title","Title type","Directors","jasonforno rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"19","tt0103776","Fri Oct 19 21:20:58 2012","Fri Oct 19 21:20:58 2012","","Batman Returns","Feature Film","Tim Burton","8","7.0","126","1992","action","212588","1992-06-16","http://www.imdb.com/title/tt0103776/"
"20","tt0162222","Fri Oct 19 21:21:20 2012","Fri Oct 19 21:21:20 2012","","Cast Away","Feature Film","Robert Zemeckis","9","7.7","143","2000","adventure, drama, romance","389304","2000-12-07","http://www.imdb.com/title/tt0162222/"
"21","tt0264464","Fri Oct 19 21:33:57 2012","Fri Oct 19 21:33:57 2012","","Catch Me If You Can","Feature Film","Steven Spielberg","9","8.0","141","2002","biography, crime, drama","512908","2002-12-16","http://www.imdb.com/title/tt0264464/"
"22","tt0388419","Fri Oct 19 21:22:26 2012","Fri Oct 19 21:22:26 2012","","Christmas with the Kranks","Feature Film","Joe Roth","4","5.2","99","2004","comedy, family","27341","2004-11-15","http://www.imdb.com/title/tt0388419/"
"23","tt0100142","Fri Oct 19 21:40:51 2012","Fri Oct 19 21:40:51 2012","","Metropolitan","Feature Film","Whit Stillman","8","7.5","98","1990","comedy, drama, romance","7035","1990-01","http://www.imdb.com/title/tt0100142/"
"24","tt0087363","Fri Oct 19 21:24:50 2012","Fri Oct 19 21:24:50 2012","","Gremlins","Feature Film","Joe Dante","8","7.2","106","1984","comedy, fantasy, horror","139535","1984-06-08","http://www.imdb.com/title/tt0087363/"
"25","tt0093409","Fri Oct 19 21:37:14 2012","Fri Oct 19 21:37:14 2012","","Lethal Weapon","Feature Film","Richard Donner","","7.6","110","1987","action, crime, thriller","188554","1987-03-06","http://www.imdb.com/title/tt0093409/"
"26","tt0060345","Fri Oct 19 21:25:42 2012","Fri Oct 19 21:25:42 2012","","How the Grinch Stole Christmas!","TV Movie","Chuck Jones, Ben Washam","","8.4","26","1966","animation, comedy, family, fantasy, musical","32280","1966-12-18","http://www.imdb.com/title/tt0060345/"
"27","tt0319343","Fri Oct 19 21:23:25 2012","Fri Oct 19 21:23:25 2012","","Elf","Feature Film","Jon Favreau","7","6.9","97","2003","comedy, family, fantasy, romance","146487","2003-10-09","http://www.imdb.com/title/tt0319343/"
"28","tt0110538","Fri Oct 19 21:18:44 2012","Fri Oct 19 21:18:44 2012","","Mixed Nuts","Feature Film","Nora Ephron","5","5.3","97","1994","comedy, drama","7950","1994-12-21","http://www.imdb.com/title/tt0110538/"
"29","tt0119488","Fri Oct 19 21:25:01 2012","Fri Oct 19 21:25:01 2012","","L.A. Confidential","Feature Film","Curtis Hanson","10","8.3","138","1997","crime, drama, mystery, thriller","409225","1997-05-14","http://www.imdb.com/title/tt0119488/"
"30","tt0110955","Fri Oct 19 21:25:10 2012","Fri Oct 19 21:25:10 2012","","The Ref","Feature Film","Ted Demme","","6.9","93","1994","comedy, crime, drama","19100","1994-03-11","http://www.imdb.com/title/tt0110955/"
"31","tt1067106","Fri Oct 19 21:21:37 2012","Fri Oct 19 21:21:37 2012","","A Christmas Carol","Feature Film","Robert Zemeckis","","6.8","96","2009","animation, drama, family, fantasy","71990","2009-11-03","http://www.imdb.com/title/tt1067106/"
"32","tt0170016","Fri Oct 19 21:25:36 2012","Fri Oct 19 21:25:36 2012","","How the Grinch Stole Christmas","Feature Film","Ron Howard","6","6.0","104","2000","comedy, family, fantasy","140221","2000-11-08","http://www.imdb.com/title/tt0170016/"
"33","tt0790604","Fri Oct 19 21:22:50 2012","Fri Oct 19 21:22:50 2012","","Deck the Halls","Feature Film","John Whitesell","5","4.9","93","2006","comedy, family","15650","2006-11-22","http://www.imdb.com/title/tt0790604/"
"34","tt0107688","Fri Oct 19 21:26:38 2012","Fri Oct 19 21:26:38 2012","","The Nightmare Before Christmas","Feature Film","Henry Selick","8","8.0","76","1993","animation, family, fantasy, musical","219406","1993-10-09","http://www.imdb.com/title/tt0107688/"
"35","tt0053604","Sun Dec 14 19:08:26 2014","Sun Dec 14 19:08:26 2014","","The Apartment","Feature Film","Billy Wilder","8","8.3","125","1960","comedy, drama, romance","107678","1960-06-15","http://www.imdb.com/title/tt0053604/"
"36","tt0107719","Fri Oct 19 21:27:02 2012","Fri Oct 19 21:27:02 2012","","The Nutcracker","Feature Film","Emile Ardolino","","5.7","92","1993","family, fantasy, music","1142","1993-11-24","http://www.imdb.com/title/tt0107719/"
"37","tt0338348","Fri Oct 19 21:27:40 2012","Fri Oct 19 21:27:40 2012","","The Polar Express","Feature Film","Robert Zemeckis","7","6.6","100","2004","animation, adventure, family, fantasy","119621","2004-10-21","http://www.imdb.com/title/tt0338348/"
"38","tt0033045","Fri Oct 19 21:28:07 2012","Fri Oct 19 21:28:07 2012","","The Shop Around the Corner","Feature Film","Ernst Lubitsch","","8.1","99","1940","comedy, drama, romance","19772","1940-01-12","http://www.imdb.com/title/tt0033045/"
"39","tt0128853","Fri Oct 19 21:28:14 2012","Fri Oct 19 21:28:14 2012","","You've Got Mail","Feature Film","Nora Ephron","6","6.5","119","1998","comedy, drama, romance","149960","1998-12-18","http://www.imdb.com/title/tt0128853/"
"40","tt0218967","Fri Oct 19 21:23:34 2012","Fri Oct 19 21:23:34 2012","","The Family Man","Feature Film","Brett Ratner","6","6.7","125","2000","comedy, drama, fantasy, romance","85352","2000-12-12","http://www.imdb.com/title/tt0218967/"
"41","tt0111070","Fri Oct 19 21:28:23 2012","Fri Oct 19 21:28:23 2012","","The Santa Clause","Feature Film","John Pasquin","6","6.4","97","1994","comedy, drama, family, fantasy","64134","1994-11-11","http://www.imdb.com/title/tt0111070/"
"42","tt0433400","Fri Oct 19 21:26:08 2012","Fri Oct 19 21:26:08 2012","","Just Friends","Feature Film","Roger Kumble","","6.2","96","2005","comedy, romance","81231","2005-11-23","http://www.imdb.com/title/tt0433400/"
"43","tt0099487","Fri Oct 19 21:34:54 2012","Fri Oct 19 21:34:54 2012","","Edward Scissorhands","Feature Film","Tim Burton","8","7.9","105","1990","fantasy, romance","353711","1990-12-06","http://www.imdb.com/title/tt0099487/"
"44","tt0111477","Fri Oct 19 21:29:09 2012","Fri Oct 19 21:29:09 2012","","Trapped in Paradise","Feature Film","George Gallo","","5.9","111","1994","adventure, comedy, crime, romance","9960","1994-11-21","http://www.imdb.com/title/tt0111477/"
"45","tt0058536","Fri Oct 19 21:30:35 2012","Fri Oct 19 21:30:35 2012","","Rudolph, the Red-Nosed Reindeer","TV Movie","Larry Roemer","","8.1","47","1964","animation, adventure, family, fantasy, musical","16834","1964-12-06","http://www.imdb.com/title/tt0058536/"
"46","tt0762121","Fri Oct 19 21:31:05 2012","Fri Oct 19 21:31:05 2012","","The Nativity Story","Feature Film","Catherine Hardwicke","6","6.8","101","2006","drama, family","8086","2006-11-24","http://www.imdb.com/title/tt0762121/"
"47","tt0110074","Fri Oct 19 21:36:03 2012","Fri Oct 19 21:36:03 2012","","The Hudsucker Proxy","Feature Film","Joel Coen","7","7.3","111","1994","comedy, fantasy","65011","1994-01","http://www.imdb.com/title/tt0110074/"
"48","tt0139239","Fri Oct 19 21:35:29 2012","Fri Oct 19 21:35:29 2012","","Go","Feature Film","Doug Liman","","7.3","102","1999","comedy, crime","59154","1999-04-07","http://www.imdb.com/title/tt0139239/"
"49","tt0276751","Fri Oct 19 21:42:52 2012","Fri Oct 19 21:42:52 2012","","About a Boy","Feature Film","Chris Weitz, Paul Weitz","8","7.1","101","2002","comedy, drama, romance","143093","2002-04-26","http://www.imdb.com/title/tt0276751/"
"50","tt0141109","Fri Oct 19 21:26:18 2012","Fri Oct 19 21:26:18 2012","","Jack Frost","Feature Film","Troy Miller","","5.2","101","1998","comedy, drama, family, fantasy","24214","1998-12-05","http://www.imdb.com/title/tt0141109/"
"51","tt0424205","Sun Dec 14 18:57:46 2014","Sun Dec 14 18:57:46 2014","","Joyeux Noel","Feature Film","Christian Carion","","7.8","116","2005","drama, history, music, romance, war","21260","2005-05-16","http://www.imdb.com/title/tt0424205/"
"52","tt0116705","Fri Oct 19 21:18:37 2012","Fri Oct 19 21:18:37 2012","","Jingle All the Way","Feature Film","Brian Levant","3","5.4","89","1996","comedy, family","67899","1996-11-16","http://www.imdb.com/title/tt0116705/"
"53","tt0039190","Sun Dec 14 18:59:07 2014","Sun Dec 14 18:59:07 2014","","The Bishop's Wife","Feature Film","Henry Koster","","7.6","109","1947","comedy, drama, fantasy, romance","10109","1947-12-09","http://www.imdb.com/title/tt0039190/"
"54","tt0114924","Sun Dec 14 18:58:51 2014","Sun Dec 14 18:58:51 2014","","While You Were Sleeping","Feature Film","Jon Turteltaub","","6.6","103","1995","comedy, drama, romance","70586","1995-04-21","http://www.imdb.com/title/tt0114924/"
"55","tt0486583","Sun Dec 14 19:00:04 2014","Sun Dec 14 19:00:04 2014","","Fred Claus","Feature Film","David Dobkin","","5.6","116","2007","comedy, family, fantasy","31356","2007-11-03","http://www.imdb.com/title/tt0486583/"
"56","tt0240890","Sun Dec 14 19:00:44 2014","Sun Dec 14 19:00:44 2014","","Serendipity","Feature Film","Peter Chelsom","6","6.9","90","2001","comedy, romance","84643","2001-09-13","http://www.imdb.com/title/tt0240890/"
"57","tt0040064","Sun Dec 14 19:08:17 2014","Sun Dec 14 19:08:17 2014","","3 Godfathers","Feature Film","John Ford","","7.2","106","1948","drama, western","6062","1948-12-01","http://www.imdb.com/title/tt0040064/"
"58","tt0369436","Sun Dec 14 19:00:15 2014","Sun Dec 14 19:00:15 2014","","Four Christmases","Feature Film","Seth Gordon","4","5.6","88","2008","comedy, drama, romance","48165","2008-11-20","http://www.imdb.com/title/tt0369436/"
"59","tt0101252","Sun Dec 14 19:08:43 2014","Sun Dec 14 19:08:43 2014","","29th Street","Feature Film","George Gallo","","7.2","101","1991","comedy, drama","2010","1991-11-01","http://www.imdb.com/title/tt0101252/"
"60","tt0252028","Sun Dec 14 18:59:51 2014","Sun Dec 14 18:59:51 2014","","Surviving Christmas","Feature Film","Mike Mitchell","5","5.3","91","2004","comedy, romance","17273","2004-10-22","http://www.imdb.com/title/tt0252028/"
"61","tt0098115","Sun Dec 14 19:11:41 2014","Sun Dec 14 19:11:41 2014","","Prancer","Feature Film","John Hancock","","6.3","103","1989","drama, family, fantasy","3114","1989-11-17","http://www.imdb.com/title/tt0098115/"
"62","tt0086465","Sun Dec 14 19:12:30 2014","Sun Dec 14 19:12:30 2014","","Trading Places","Feature Film","John Landis","","7.5","116","1983","comedy","101778","1983-06-08","http://www.imdb.com/title/tt0086465/"
"63","tt0293815","Sun Dec 14 19:15:17 2014","Sun Dec 14 19:15:17 2014","","Friday After Next","Feature Film","Marcus Raboy","","5.8","85","2002","comedy, drama","18964","2002-11-22","http://www.imdb.com/title/tt0293815/"
"64","tt0095107","Sun Dec 14 19:15:35 2014","Sun Dec 14 19:15:35 2014","","Ernest Saves Christmas","Feature Film","John Cherry","","5.5","95","1988","comedy, family, fantasy","7807","1988-11-11","http://www.imdb.com/title/tt0095107/"
"65","tt0373469","Sun Dec 14 19:16:10 2014","Sun Dec 14 19:16:10 2014","","Kiss Kiss Bang Bang","Feature Film","Shane Black","","7.6","103","2005","comedy, crime, mystery","173388","2005-05-14","http://www.imdb.com/title/tt0373469/"
"66","tt0051406","Sun Dec 14 19:17:45 2014","Sun Dec 14 19:17:45 2014","","Bell Book and Candle","Feature Film","Richard Quine","","6.9","106","1958","comedy, romance, fantasy","7027","1958-12-19","http://www.imdb.com/title/tt0051406/"
"67","tt1430607","Sun Dec 14 19:18:08 2014","Sun Dec 14 19:18:08 2014","","Arthur Christmas","Feature Film","Sarah Smith, Barry Cook","","7.1","97","2011","animation, adventure, comedy, family, fantasy","35207","2011-11-11","http://www.imdb.com/title/tt1430607/"
"68","tt0037595","Sun Dec 14 19:19:07 2014","Sun Dec 14 19:19:07 2014","","Christmas in Connecticut","Feature Film","Peter Godfrey","","7.5","102","1945","comedy, romance","4754","1945-07-20","http://www.imdb.com/title/tt0037595/"
